date,value
1995-01-01,-12.2000000007385
1996-01-01,-10.0
1997-01-01,-2.99999999842365
1998-01-01,-1.90000000214164
1999-01-01,-0.200000000106499
2000-01-01,5.90000000024899
2001-01-01,8.80000000367222
2002-01-01,5.33964720719075
2003-01-01,9.51660986436364
2004-01-01,11.7953525281136
2005-01-01,3.07123039245209
2006-01-01,7.57142076322967
2007-01-01,8.21584445165715
2008-01-01,2.24349159628288
2009-01-01,-15.1364679101502
2010-01-01,4.09200436668087
2011-01-01,5.44528081048476
2012-01-01,0.152314967200653
2013-01-01,0.045439094492707
2014-01-01,-10.0788949840953
2015-01-01,-9.7729872128676
2016-01-01,2.44098194492067
2017-01-01,2.35997228099491
2018-01-01,3.48836234022659
2019-01-01,3.19950386354134
2020-01-01,-3.75281793983162
2021-01-01,3.44562065945944
2022-01-01,-28.7585842155085
2023-01-01,5.53473354963334
2024-01-01,2.9138222142611
