Country,I 2002-07,II 2008-12,III 2013-19,IV 2020-21,V 2022-23,VI 2024-25
AT,0.0873,0.1135,0.1397,0.1426,0.0056,0.0364
BE,0.0577,0.0975,0.103,0.0349,0.2302,0.2075
DE,0.0673,0.0593,0.0504,0.1355,0.0298,0.0387
ES,0.1325,0.0925,0.0508,0.1016,0.0851,0.0392
FI,0.0494,0.1014,0.1246,0.0962,0.1192,0.2455
FR,0.0723,0.0693,0.1067,0.0607,0.1018,0.1592
GR,0.1282,0.0811,0.0483,0.086,0.1379,0.0776
IE,0.0512,0.0721,0.0841,0.0701,0.0526,0.01
IT,0.134,0.0506,0.0852,0.0502,0.0,0.032
NL,0.091,0.0827,0.0953,0.0834,0.1256,0.1081
PT,0.0652,0.0517,0.0497,0.0369,0.0468,0.0296
UA,0.0639,0.1283,0.0623,0.102,0.0655,0.016
