Country,I (2002-07),II (2008-12),III (2013-19),IV (2020-21),V (2022-23),VI (2024-25)
AT,0.0929,0.1068,0.1129,0.1315,0.0,0.0281
BE,0.0989,0.0381,0.0797,0.0352,0.208,0.1198
DE,0.087,0.0425,0.0475,0.0932,0.0193,0.0666
ES,0.0611,0.0884,0.0522,0.0626,0.1258,0.0508
FI,0.0401,0.0776,0.1112,0.1563,0.1181,0.1008
FR,0.0575,0.0996,0.1316,0.0825,0.0751,0.0826
GR,0.0863,0.0471,0.0545,0.0301,0.1254,0.0478
IE,0.032,0.0837,0.0853,0.0513,0.056,0.0
IT,0.13,0.0639,0.0778,0.0525,0.0,0.0632
NL,0.1517,0.1054,0.069,0.1073,0.1271,0.0669
PT,0.0793,0.0803,0.0593,0.0308,0.0202,0.0817
